School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Math,7,1619,Davis County,76.0,93.0,81.7,80.1 - 90%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296, -92.412623125)"
2011,Math,5,3042,Hudson,40.0,49.0,81.6,80.1 - 90%,"136 S. Washington
Hudson, Iowa 50643
(42.401833833, -92.453961118)"
2011,Math,5,2349,Fredericksburg,12.0,15.0,80.0,70.1 - 80%,"401 E High Street
Fredericksburg, Iowa 50630
(42.962856553, -92.19441373)"
2011,Reading,3,5742,Sac,20.0,22.0,90.9,90.1 - 100%,"400 S 16th St
Sac City, Iowa 50583
(42.418390154, -95.002601057)"
2011,Reading,5,4779,North Polk,77.0,87.0,88.5,80.1 - 90%,"13930 NE 6th St
Alleman, Iowa 50007
(41.805870727, -93.610359303)"
2011,Reading,6,1863,Dubuque,490.0,720.0,68.1,60.1 - 70%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923, -90.706179714)"
2011,Reading,8,5607,Rock Valley,41.0,54.0,75.9,70.1 - 80%,"1712 20th Avenue
Rock Valley, Iowa 51247
(43.207299672, -96.288093242)"
2011,Math,4,387,Atlantic,85.0,99.0,85.9,80.1 - 90%,"1100 Linn St
Atlantic, Iowa 50022
(41.399920295, -95.007494477)"
2011,Math,3,4778,North Kossuth,14.0,17.0,82.4,80.1 - 90%,"203 5th Street North
Swea City, Iowa 50590
(43.383718628, -94.312397755)"
2011,Math,11,5160,PCM,79.0,95.0,83.2,80.1 - 90%,"400 E Hwy 163
Monroe, Iowa 50170
(41.516807129, -93.098919286)"
2011,Reading,11,5724,Ruthven-Ayrshire,11.0,18.0,61.1,60.1 - 70%,"1505 Washington St
Ruthven, Iowa 51358
(43.131108351, -94.899973418)"
2011,Reading,6,5742,Sac,48.0,67.0,71.6,70.1 - 80%,"400 S 16th St
Sac City, Iowa 50583
(42.418390154, -95.002601057)"
2011,Reading,6,234,Anamosa,50.0,72.0,69.4,60.1 - 70%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.106223203, -91.286826145)"
2011,Reading,8,5184,Perry,88.0,119.0,74.0,70.1 - 80%,"1102 Willis Ave. Ste 200
Perry, Iowa 50220
(41.838547891, -94.106322523)"
2011,Reading,7,977,Cardinal,25.0,36.0,69.4,60.1 - 70%,"4045 Ashland Rd
Eldon, Iowa 52554
(40.960448077, -92.237423973)"
2011,Reading,7,1152,Cherokee,47.0,69.0,68.1,60.1 - 70%,"600 W. Bluff Street
Cherokee, Iowa 51012
(42.754665717, -95.55589844)"
2011,Math,11,1337,College,243.0,275.0,88.4,80.1 - 90%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
